Compliments Whole White or Mini Bella Mushrooms,$4.00,2,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments or Compliments Balance Frozen Entrées,$5.00,4,,,$1.99,SAVE UP TO 2.96 on 4,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments presents Jamie Oliver Discovers Canada Pull-Apart Pork Roast,$4.99,1,,lb,,SAVE 50¢ /lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Conestoga or Burnbrae Farms Free Run Omega-3 Eggs,$4.99,1,,,,SAVE UP TO 60¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cookies or Muffins,$8.00,2,,,$4.49,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cracker Barrel Shredded Cheese,$5.99,1,,,,SAVE UP TO 3.20,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Danone Oikos Greek Yogurt,$3.99,1,,,,SAVE UP TO 1.60,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Dare Bear Paws,$2.00,1,,,,SAVE UP TO 1.89,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Degree Adrenaline Deodorant,$2.99,1,,,,SAVE UP TO 1.50,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Deli Prepared Atlantic Canadian Lobster Roll Sandwich, Miss Vickie's Chips, 66 g and Pepsi Glass Bottle, 355 mL",$7.50,1,,,,comboSAVE $1.27,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Deli Prepared Blue Goose In Store Roasted Whole Chicken + Fresh Attitude Salad Kits + Artisan Organic White Baguette + Sensations by Compliments Chilled Soup,$24.99,1,,,,SAVE 3.97,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Dempster's Bread,$3.00,1,,,,,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Dole Fruit,$2.00,1,,,,SAVE UP TO 1.99,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Doritos Tortilla Chips,$2.00,1,,,,SAVE UP TO 1.69,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Dove Dry Spray Deodorant,$5.99,1,,,,SAVE UP TO 50¢,10,BUY 2 EARN AIR MILES +10 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Downy Fabric Softener,$7.99,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Ecuadorian Roses,$20.00,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Enfamil A+, Nestlé Good-Start 2 or Similac Omega Formula",$25.99,1,,,,SAVE UP TO 5.70,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Ethical Bean Organic Coffee,$9.99,1,,,,SAVE UP TO $3.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Febreze Air Effects,$7.00,2,,,$3.79,SAVE UP TO 1.98 on 2,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Folgers® Classic Roast,$4.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Fresh Tilapia Fillets or Atlantic Salmon Steaks,$7.99,1,,lb,,SAVE UP TO 1.00/lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Fresh Wild Sockeye Salmon,$2.99,1,,100 g,,SAVE 32¢/100 g,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Glad Cling Wrap,$1.00,1,,,,SAVE UP TO 1.49,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Glade Plugins Scented Oil Refill,$7.99,1,,,,SAVE UP TO 1.00,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Green Sliced, Spanish or Red Diced Onions",,1,,,,BUY 1 GET 50% off on any 2nd package (of equal or lesser value),,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Heinz Beans or Pasta,$1.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
High Liner Fish Fillets,$6.99,1,,,,SAVE UP TO 2.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"High Liner Signature Pack, Captain's Crew, Flame Savours or Pan Sear",$10.99,1,,,,SAVE UP TO $2.60,10,BUY 2 EARN AIR MILES +10 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Hot House Tomatoes or Seedless Cucumbers,$1.00,1,,lb,,"SAVE UP TO 99¢/lb, ea.",,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Huggies Baby Wipes,$7.99,1,,,,SAVE UP TO 50¢,7,BUY 2 EARN AIR MILES +7 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Huggies Jumbo Diapers,$12.99,1,,,,SAVE UP TO 1.00,10,BUY 2 EARN AIR MILES +10 rewards miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Humpty Dumpty Party Mix,$6.00,2,,,,SAVE UP TO 1.18 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Hunt's Snack Pack Pudding,$1.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Hunt's Thick &amp; Rich,$1.00,1,,,,SAVE UP TO 1.29,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
